time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-09T18:14:23.930Z,49.0242,-128.5416,10,4.6,mwr,,174,1.639,1.31,us,us1000i5dt,2019-02-16T19:52:34.040Z,"192 km W of Tofino, Canada",earthquake,5.9,2,,,reviewed,us,pgc
2018-12-09T17:48:40.940Z,48.9734,-128.7003,10,4.6,mwr,,164,1.708,1.18,us,us1000i5di,2019-02-16T19:52:34.040Z,"205 km W of Tofino, Canada",earthquake,7.9,2,,,reviewed,us,pgc
2018-12-09T16:20:13.320Z,49.0257,-128.8745,10,5.4,mww,,163,1.686,1.05,us,us1000i5cf,2019-02-16T19:52:34.040Z,"213 km WSW of Vernon, Canada",earthquake,7.7,1.9,0.04,59,reviewed,us,us
2018-12-01T07:33:47.180Z,50.0974,-129.4077,10,4.7,mwr,,179,0.98,0.74,us,us1000hzc2,2019-02-09T19:02:16.040Z,"174 km WSW of Port McNeill, Canada",earthquake,6.2,1.9,,,reviewed,us,pgc
2018-11-01T04:22:19.760Z,49.3356,-129.3083,10,4.9,mww,,84,1.51,0.83,us,us2000i53f,2019-01-21T14:29:42.040Z,"211 km SW of Port McNeill, Canada",earthquake,7.2,1.9,0.039,63,reviewed,us,us
2018-10-22T16:27:00.900Z,49.0689,-128.9922,10,5.2,mww,,80,1.668,1.01,us,us1000hfn8,2019-01-10T17:18:33.040Z,"217 km SW of Port McNeill, Canada",earthquake,6.8,1.9,0.04,60,reviewed,us,us
2018-10-22T14:00:00.670Z,49.3069,-129.4995,10,4.6,mb,,163,1.6,0.79,us,us1000hflf,2019-01-10T17:18:33.040Z,"224 km SW of Port McNeill, Canada",earthquake,7,1.9,0.035,237,reviewed,us,us
2018-10-22T06:36:07.090Z,49.3296,-129.6659,10,4.9,mb,,85,1.643,0.93,us,us1000hfhb,2019-01-10T17:18:33.040Z,"232 km SW of Port McNeill, Canada",earthquake,6.3,1.8,0.039,209,reviewed,us,us
2018-10-22T06:31:45.180Z,49.5072,-129.0661,10,4.5,mb,,170,1.283,0.95,us,us1000hh2v,2019-01-10T17:18:36.040Z,"186 km SW of Port McNeill, Canada",earthquake,8.4,2,0.11,24,reviewed,us,us
2018-10-22T06:22:48.120Z,49.297,-129.7237,10,6.5,mww,,68,1.692,0.71,us,us1000hfh3,2019-01-10T17:18:33.040Z,"237 km SW of Port McNeill, Canada",earthquake,3.3,1.7,0.071,19,reviewed,us,us
2018-10-22T06:16:26.450Z,49.3346,-129.289,10,6.8,mww,,36,1.505,1.09,us,us1000hfgv,2020-08-15T02:48:52.834Z,"210 km SW of Port McNeill, Canada",earthquake,6,1.8,0.042,55,reviewed,us,us
2018-10-22T05:39:39.590Z,49.2586,-129.4124,10,6.5,mww,,63,1.611,0.94,us,us1000hfgn,2019-01-10T17:18:33.040Z,"223 km SW of Port McNeill, Canada",earthquake,4.4,1.5,0.046,46,reviewed,us,us
2018-08-21T13:10:07.490Z,50.8522,-130.1495,10,4.9,mwr,,156,1.298,0.8,us,us1000gel7,2018-11-01T17:50:53.040Z,"218 km W of Port McNeill, Canada",earthquake,5.8,1.9,,,reviewed,us,pgc
2018-05-10T06:36:20.090Z,49.0313,-128.8761,10,4.5,mwr,,162,1.681,0.75,us,us1000e1t4,2018-08-08T15:20:00.040Z,"213 km WSW of Vernon, Canada",earthquake,5.9,2,,,reviewed,us,pgc
2018-03-16T02:56:20.910Z,48.9633,-129.8448,15.95,4.6,mwr,,185,1.113,0.77,us,us1000d53z,2018-06-11T21:53:47.040Z,"268 km SW of Port McNeill, Canada",earthquake,6.4,7.1,,,reviewed,us,pgc
2018-03-01T18:35:37.950Z,50.8834,-129.8538,10,4.6,mwr,,166,1.119,0.92,us,us2000d9u5,2018-05-27T01:06:07.040Z,"198 km W of Port McNeill, Canada",earthquake,8.9,2,,,reviewed,us,pgc
2018-01-14T19:10:55.150Z,50.6375,-129.8723,10,4.7,mwr,,167,1.107,1.37,us,us2000cjjd,2018-04-03T01:40:31.040Z,"197 km W of Port McNeill, Canada",earthquake,3.8,2,,,reviewed,us,pgc
2018-01-14T18:54:04.660Z,50.6958,-129.8531,10,4.5,mwr,,171,1.095,1.33,us,us2000cjj9,2018-04-03T01:40:31.040Z,"196 km W of Port McNeill, Canada",earthquake,4.5,1.8,,,reviewed,us,pgc
2017-12-17T04:11:10.260Z,50.2535,-129.7614,10,4.7,mwr,,179,1.11,0.91,us,us2000c5cg,2018-03-14T00:58:20.040Z,"193 km WSW of Port McNeill, Canada",earthquake,3.4,1.9,,,reviewed,us,pgc
2017-12-04T03:51:44.180Z,50.595,-129.9469,10,4.8,mwr,,156,1.156,1.1,us,us1000bks1,2018-02-28T02:32:25.040Z,"202 km W of Port McNeill, Canada",earthquake,6.7,1.9,0.078,16,reviewed,us,us
2017-11-21T09:47:09.380Z,49.3777,-129.5926,10,4.9,mwr,,168,1.576,1.46,us,us2000bs8b,2018-02-14T02:01:08.040Z,"224 km SW of Port McNeill, Canada",earthquake,5.6,1.9,,,reviewed,us,pgc
2017-11-13T18:37:32.990Z,49.5463,-129.3459,10,4.5,mwr,,177,1.345,0.99,us,us2000bmsh,2018-02-06T02:45:32.040Z,"199 km SW of Port McNeill, Canada",earthquake,5.1,2,,,reviewed,us,pgc
